City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,remire-montjoly,4.9167,-52.2667,28.02,89,75,5.14,GF,1715032921
1,waitangi,-43.9535,-176.5597,11.57,86,88,3.58,NZ,1715032922
2,blackmans bay,-43.0167,147.3167,7.51,91,9,0.45,AU,1715032922
3,whitehorse,60.7161,-135.0538,6.56,79,100,3.09,CA,1715032905
4,puerto ayora,-0.7393,-90.3518,26.98,95,39,2.24,EC,1715032922
5,caconde,-21.5294,-46.6439,19.36,73,1,1.54,BR,1715032922
6,edinburgh of the seven seas,-37.0676,-12.3116,13.88,68,65,8.38,SH,1715032922
7,san patricio,28.017,-97.5169,30.4,65,40,7.04,US,1715032922
8,pasighat,28.0667,95.3333,20.07,75,93,1.5,IN,1715032923
9,pakokku,21.3333,95.1,30.85,41,100,2.15,MM,1715032923
10,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,78,100,4.0,RU,1715032923
11,sechura,-5.5569,-80.8222,25.81,59,53,6.84,PE,1715032923
12,tiksi,71.6872,128.8694,-1.68,89,84,2.01,RU,1715032923
13,bethel,41.3712,-73.414,22.93,93,100,1.46,US,1715032802
14,puerto natales,-51.7236,-72.4875,4.25,56,0,2.57,CL,1715032923
15,grytviken,-54.2811,-36.5092,0.45,80,76,4.26,GS,1715032757
16,papatowai,-46.5619,169.4708,9.57,74,72,5.92,NZ,1715032924
17,hawaiian paradise park,19.5933,-154.9731,24.93,89,100,1.79,US,1715032924
18,ukiah,39.1502,-123.2078,20.65,44,75,4.12,US,1715032924
19,stanley,54.868,-1.6985,10.44,93,100,2.06,GB,1715032924
20,adamstown,-25.066,-130.1015,21.94,78,47,8.12,PN,1715032924
21,qaqortoq,60.7167,-46.0333,-0.59,68,1,2.01,GL,1715032924
22,sandnessjoen,66.0217,12.6316,2.29,66,7,4.46,NO,1715032925
23,puerto deseado,-47.7503,-65.8938,4.41,59,30,5.34,AR,1715032884
24,yellowknife,62.456,-114.3525,17.29,48,20,6.17,CA,1715032869
25,bonthe,7.5264,-12.505,27.97,80,64,3.73,SL,1715032925
26,la maddalena,41.2142,9.4083,18.03,73,100,5.0,IT,1715032853
27,port-aux-francais,-49.35,70.2167,6.37,98,100,12.75,TF,1715032912
28,scottburgh,-30.2867,30.7532,21.14,50,0,2.76,ZA,1715032925
29,talnakh,69.4865,88.3972,-14.33,100,99,2.66,RU,1715032925
30,port elizabeth,-33.918,25.5701,16.84,99,3,2.57,ZA,1715032926
31,west island,-12.1568,96.8225,26.99,83,40,5.14,CC,1715032926
